N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
550,,2,3,0,,,,,,,,,,
551,,2,2,0,,,,,,,,,,
552,,2,2,2,,,,,,,,,,
553,,2,5,0,,,,,,,,,,
554,,2,5,3,,,,,,,,,,
555,,2,5,0,,,,,,,,,,
556,,2,5,3,,,,,,,,,,
557,,2,5,2,,,,,,,,,,
558,,2,5,2,,,,,,,,,,
559,,1,4,1,,,,,,,,,,
560,,4,4,1,,,,,,,,,,
561,,0,4,1,,,,,,,,,,
562,,1,4,1,,,,,,,,,,
563,,0,4,1,,,,,,,,,,
564,,0,4,1,,,,,,,,,,
565,,1,4,1,,,,,,,,,,
566,,0,4,1,,,,,,,,,,
567,,0,4,1,,,,,,,,,,
568,,4,3,1,,,,,,,,,,
569,,0,4,1,,,,,,,,,,
570,,4,2,1,,,,,,,,,,
571,,1,4,1,,,,,,,,,,
572,,0,5,1,,,,,,,,,,
573,,0,2,2,,,,,,,,,,
574,,1,5,1,,,,,,,,,,
575,,4,4,1,,,,,,,,,,
576,,0,3,1,,,,,,,,,,
577,,1,5,1,,,,,,,,,,
578,,2,2,2,,,,,,,,,,
579,,4,2,1,,,,,,,,,,
580,,0,2,1,,,,,,,,,,
581,,2,7,1,,,,,,,,,,
582,,1,3,1,,,,,,,,,,
583,,1,4,1,,,,,,,,,,
584,,3,4,1,,,,,,,,,,
585,,4,3,1,,,,,,,,,,
586,,3,4,1,,,,,,,,,,
587,,3,4,1,,,,,,,,,,
588,,2,7,0,,,,,,,,,,
589,,2,2,1,,,,,,,,,,
590,,0,3,1,,,,,,,,,,
591,,1,3,1,,,,,,,,,,
592,,1,5,1,,,,,,,,,,
593,,1,6,1,,,,,,,,,,
594,,1,4,1,,,,,,,,,,
595,,1,4,1,,,,,,,,,,
596,,1,5,1,,,,,,,,,,
597,,0,4,1,,,,,,,,,,
598,,1,3,1,,,,,,,,,,
599,,3,2,2,,,,,,,,,,
600,,4,4,1,,,,,,,,,,
601,,4,4,1,,,,,,,,,,
602,,4,4,1,,,,,,,,,,
603,,4,4,1,,,,,,,,,,
604,,4,4,1,,,,,,,,,,
605,,4,4,1,,,,,,,,,,
606,,1,15,1,,,,,,,,,,
607,,2,3,1,,,,,,,,,,
608,,0,4,6,,,,,,,,,,
609,,0,4,1,,,,,,,,,,
610,,4,2,2,,,,,,,,,,
611,,0,5,2,,,,,,,,,,
612,,2,3,2,,,,,,,,,,
613,,0,3,3,,,,,,,,,,
614,,3,3,3,,,,,,,,,,
615,,0,3,3,,,,,,,,,,
616,,0,3,3,,,,,,,,,,
617,,6,3,3,,,,,,,,,,
618,,3,3,3,,,,,,,,,,
619,,3,4,,,,,,,,,,,
620,,3,4,,,,,,,,,,,
621,,3,4,,,,,,,,,,,
622,,3,4,,,,,,,,,,,
623,,3,3,,,,,,,,,,,
624,,3,3,,,,,,,,,,,
625,,3,3,,,,,,,,,,,
626,,3,3,,,,,,,,,,,
627,,3,3,,,,,,,,,,,
628,,3,3,,,,,,,,,,,
629,,3,3,,,,,,,,,,,
630,,3,3,,,,,,,,,,,
631,,3,3,,,,,,,,,,,
632,,6,6,,,,,,,,,,,
